Death|Death|9|..\Texture\Player\Action\Death\Death\Death_0%d.png
Hurt|Back|3|..\Texture\Player\Action\Hurt\Back\Hurt_Back_0%d.png
Hurt|Front|3|..\Texture\Player\Action\Hurt\Front\Hurt_Front_0%d.png
Hurt|Left|3|..\Texture\Player\Action\Hurt\Left\Hurt_Left_0%d.png
Hurt|Right|3|..\Texture\Player\Action\Hurt\Right\Hurt_Right_0%d.png
ICE_Slide|Back|2|..\Texture\Player\Action\ICE_Slide\Back\ICE_Slide_Back_0%d.png
ICE_Slide|Front|2|..\Texture\Player\Action\ICE_Slide\Front\ICE_Slide_Front_0%d.png
ICE_Slide|Left|2|..\Texture\Player\Action\ICE_Slide\Left\ICE_Slide_Left_0%d.png
ICE_Slide|Right|2|..\Texture\Player\Action\ICE_Slide\Right\ICE_Slide_Right_0%d.png
Idle|Back|4|..\Texture\Player\Action\Idle\Back\Idle_Back_0%d.png
Idle|Front|4|..\Texture\Player\Action\Idle\Front\Idle_Front_0%d.png
Idle|Left|4|..\Texture\Player\Action\Idle\Left\Idle_Left_0%d.png
Idle|Right|4|..\Texture\Player\Action\Idle\Right\Idle_Right_0%d.png
Lift|Back|5|..\Texture\Player\Action\Lift\Back\Lift_Back_0%d.png
Lift|Front|5|..\Texture\Player\Action\Lift\Front\Lift_Front_0%d.png
Lift|Left|5|..\Texture\Player\Action\Lift\Left\Lift_Left_0%d.png
Lift|Right|5|..\Texture\Player\Action\Lift\Right\Lift_Right_0%d.png
Move|Back|6|..\Texture\Player\Action\Move\Back\Move_Back_0%d.png
Move|Front|6|..\Texture\Player\Action\Move\Front\Move_Front_0%d.png
Move|Left|6|..\Texture\Player\Action\Move\Left\Move_Left_0%d.png
Move|Right|6|..\Texture\Player\Action\Move\Right\Move_Right_0%d.png
MoveHolding|Back|6|..\Texture\Player\Action\MoveHolding\Back\MoveHolding_Back_0%d.png
MoveHolding|Front|6|..\Texture\Player\Action\MoveHolding\Front\MoveHolding_Front_0%d.png
MoveHolding|Left|6|..\Texture\Player\Action\MoveHolding\Left\MoveHolding_Left_0%d.png
MoveHolding|Right|6|..\Texture\Player\Action\MoveHolding\Right\MoveHolding_Right_0%d.png
Pull|Back|9|..\Texture\Player\Action\Pull\Back\Pull_Back_0%d.png
Pull|Front|9|..\Texture\Player\Action\Pull\Front\Pull_Front_0%d.png
Pull|Left|9|..\Texture\Player\Action\Pull\Left\Pull_Left_0%d.png
Pull|Right|9|..\Texture\Player\Action\Pull\Right\Pull_Right_0%d.png
Push|Back|9|..\Texture\Player\Action\Push\Back\Push_Back_0%d.png
Push|Front|9|..\Texture\Player\Action\Push\Front\Push_Front_0%d.png
Push|Left|9|..\Texture\Player\Action\Push\Left\Push_Left_0%d.png
Push|Right|9|..\Texture\Player\Action\Push\Right\Push_Right_0%d.png
Throw|Back|5|..\Texture\Player\Action\Throw\Back\Throw_Back_0%d.png
Throw|Front|5|..\Texture\Player\Action\Throw\Front\Throw_Front_0%d.png
Throw|Left|5|..\Texture\Player\Action\Throw\Left\Throw_Left_0%d.png
Throw|Right|5|..\Texture\Player\Action\Throw\Right\Throw_Right_0%d.png
Terrain|Tile|38|..\Texture\Stage\Terrain\Tile\Tile%d.png
Stage01|Tile|23|..\Texture\MapBlock\Stage01\Tile%d.png
ObjectStage01|Tile|4|..\Texture\MapBlock\ObjectStage01\ObjectTile0%d.png
Terrain|Object|1|..\Texture\Stage\Terrain\Object\Object%d.png
Attack|Back|3|..\Texture\Player\Action\Attack\Back\Weapon\Attack_Back_Weapon_0%d.png
AttackEffect|Back|1|..\Texture\Player\Action\Attack\Back\Attack_Back_Effect.png
AttackMotion|Back|7|..\Texture\Player\Action\Attack\Back\Motion\OneHead_Sword_Attack_Back_0%d.png
Attack|Front|3|..\Texture\Player\Action\Attack\Front\Weapon\Attack_Front_Weapon_0%d.png
AttackEffect|Front|1|..\Texture\Player\Action\Attack\Front\Attack_Front_Effect.png
AttackMotion|Front|7|..\Texture\Player\Action\Attack\Front\Motion\OneHead_Sword_Attack_Front_0%d.png
Attack|Left|3|..\Texture\Player\Action\Attack\Right\Weapon\Attack_Right_Weapon_0%d.png
AttackEffect|Right|1|..\Texture\Player\Action\Attack\Right\Attack_Right_Effect.png
AttackMotion|Right|7|..\Texture\Player\Action\Attack\Right\Motion\OneHead_Sword_Attack_Right_0%d.png
Attack|Right|3|..\Texture\Player\Action\Attack\Left\Weapon\Attack_Left_Weapon_0%d.png
AttackEffect|Left|1|..\Texture\Player\Action\Attack\Left\Attack_Left_Effect.png
AttackMotion|Left|7|..\Texture\Player\Action\Attack\Left\Motion\OneHead_Sword_Attack_Left_0%d.png
